1:1	Let's arrange an area of 8 metres by 3 metres as the "bowling alley".
1:2	Use ten plastic bottles as "bowling pins".
1:3	Fill the bottles with a little water.
1:4	Line up the bottles in four rows: 4,3,2,1.
1:5	I'll give everyone a frisbee.
1:6	On each turn, you're allowed to shot twice.
1:7	Each bottle that is knocked down scores one point.
1:8	If all the ten bottles are knocked down, then you take two more shots.
1:9	Add all the points together.
1:10	The one with the most scores wins the game.
2:1	Jalal I'm fine, thanks My name's Aki and i'm 22 years old, bye!
3:1	How are you?
3:2	Thank you to sendmail to me.
3:3	My name's Anfeng.
3:4	I'm 24 years old.
3:5	Nice to meet you !
3:6	I think we are friends already.
3:7	I hope we can learn english toghter!
4:1	Mark an area of about 8 meters x by 3 meters as the "bowling alley".
4:2	Use ten plastic bottles as the "bowling pins"-filled them with a little water to make them heavier.
4:3	Line up the bottles in rows of 4, then 3, then 1-just like ten-pin bowling.
4:4	Give each player a frisbee and allow to take two shots on each turn.
4:5	Give players a total of ten turns each.
4:6	Score one point for knocking each pin down.
4:7	If score a "strike"( knock down all the bottles). Then the player takes two more shots and adds all the points together.
4:8	The player wins with the most points.
4:9	Be careful, play this game should be on a very windy day!
5:1	my room is finished.
5:3	There is a wonderfull computer and have a confortable bed.
5:4	It's expansive and interesting.
5:5	I can play guitar now, because my room have a wall of sound proof, its nice for me.
5:7	My room got a wonderfull red rug of carp.
6:1	An area of about 8 meters X 3 meters .
6:2	Ten plastic bottles .
6:3	Fill the bottles a little water to make them heavier.
6:4	Line up the bottles in rows of 4, then 3, then 2, then 1.
6:5	Give each player a frisbee, each player takes two shots on each turn, and a total of ten turns.
6:6	Knock down one pin, score one point.
6:7	Knock down all the bottles is a "strike", the player scores and takes two more shots, add the point together.
6:8	Winner: With the most points.
6:9	Attention: Don't play this game on a very windy day!
7:1	Mark an area of about 8 metres by 3 metres as the "bowling alley".
7:2	Use ten plastic bottles as the "bowling pins".
7:3	Fill each bottle with a little water to make it heavier.
7:4	Line up the bottles in rows of 4, then 3, then 2, then 1, just like ten-pin bowling.
7:5	Get a frisbee and take two shots on each turn.
7:6	Each player has ten turns.
7:7	Knocking down a pin scores one point and gets two more shots.
7:8	the winner with the most points win.
7:9	notes: do not play on a very windy day!
8:1	I'm a project manager of development.
8:2	I always have meetings and phone calls.
8:3	My job is very exhausting but very interesting.
8:4	Sometimes I go on business trips and discuss the technical topics with our suppliers.
8:5	After the meeting I sometimes write the minutes and send the minutes to the participants.
9:1	How are you?
9:2	My name is Future.
9:3	My age is twenty-four.
9:4	I come from Beijing China.
10:1	Hi mom and dad,
10:2	I'm going to go to a music festival tomorrow.
10:3	The price of ticket is 50 RMB.
10:4	I'm going to take a guitar .
10:5	I'm going to listen to pop and dance music.
10:6	I'm taking a tent, T-shit and shorts, Maybe it'll rain, and I'm going to buy a umbrella.
10:7	Wish you were there!
11:1	my name is Natalia.
11:2	I work in sport school.
11:4	I like my job becouse I always help people.
