WritingId	MemberId	Essay	DateSubmitted	Grade	Comment	topicId	correctedWriting	LevelNo	UnitNo	Country	Nationality	Unit Name	Lesson Title	lesson Aim
1	18428834	Let's arrange an area of 8 metres by 3 metres as the "bowling alley". Use ten plastic bottles as "bowling pins". Fill the bottles with a little water.Line up the bottles in four rows: 4,3,2,1. I'll give everyone a frisbee.On each turn, you're allowed to shot twice.Each bottle that is knocked down scores one point. If all the ten bottles are knocked down, then you take two more shots.Add all the points together. The one with the most scores wins the game.	2011-03-18 04:32:27.233	78	Dear student<br/>You have understood the topic well. It was a good attempt. <br/><br/>I just want to highlight a few things that you need to work on.<br/><br/>Punctuation: Remember to leave a space AFTER all punctuation (. , ! ? etc). <br/><br/>Plural: Please be careful when using singular and plurals. For e.g. shot (PL)(>>shots). Use a plural form when you are talking about more than one thing or things in general.<br/><br/>Well done on a fine effort. All the very best with your online studies!<br/><br/>Best Wishes<br/><br/><br/><br/>	14173	Let's arrange an area of 8 metres by 3 metres as the "bowling alley". Use ten plastic bottles as "bowling pins". Fill the bottles with a little water.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>Line up the bottles in four rows: 4,3,2,1.<br/>I'll give everyone a frisbee.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>On each turn, you're allowed <change><selection>to</selection><tag><symbol>D</symbol><correct></correct></tag></change> <change><selection></selection><tag><symbol>I(x)</symbol><correct>two</correct></tag></change><change><selection>shot </selection><tag><symbol>PL</symbol><correct>shots</correct></tag></change><change><selection>twice</selection><tag><symbol>D</symbol><correct></correct></tag></change>.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>Each bottle that is knocked down scores one point. If all the ten bottles are knocked down, then you take two more shots.<change><selection></selection><tag><symbol>PU</symbol><correct> </correct></tag></change>Add all the points together.<br/>The one with the most scores wins the game.	7	1	cn	cn	Rules and instructions	Giving instructions to play a game	By the end of this lesson, you will be able to write rules and instructions to a game.
2	18444263	Hi, Jalal I'm fine ,thanks My name's Aki and i'm 22 years old, bye!	2011-03-18 04:44:35.113	87	Jalal,<br/>I am glad to know about you. You have made great use of simple sentence structures.<br/><br/>The pronoun 'I' should always be written in capital letters irrespective of its position: and i'm (C)(>>I'm )22 years old.<br/><br/>A full stop is needed to reflect the independence of the various ideas instead of a comma: years old,(PU)(>>.).<br/><br/>You can use both the grammar guide and grammar lab in the Englishtown online school to check and practice grammar issues. <br/><br/>All the best with your future writing.<br/><br/>Regards,<br/>Melinda	3535	Hi, Jalal I'm fine ,thanks My name's Aki and i'm 22 years old, bye!	1	1	my	ir	Greetings and introductions	Introducing yourself by email	By the end of this lesson, you will be able to introduce yourself by email.
3	18445817	Hi! Anna,How are you? Thank you to sendmail to me. My name's Anfeng.I'm 24 years old.Nice to meet you !I think we are friends already,I hope we can learn english toghter! Bye! Anfeng.	2011-03-18 04:46:33.720	89	Dear Student<br/><br/>Thank you so much for submitting your work to me, it has been such a pleasure marking your work.<br/><br/>Spelling errors can be prevented by proof reading your work or doing a spell check before submitting it.<br/><br/>Be careful with spacing and punctuation marks.  Be sure that a (one) space is always made after a comma (,) or full stop (.):<br/>"My name is Mike. I am 23 years old."<br/>"My name is Mike, I am 23 years old."<br/>Be sure that the space is not made BEFORE the punctuation mark.<br/><br/>Be careful not to capitalise a word that is not a proper noun, in the beginning of a sentence or the word "I".<br/><br/>Remember that langauges are proper nouns, therefore will always be written with a capital letter.  More examples: Chinese, English, China, Doctor, Eiffel Tower, December, Monday.<br/><br/>Other than that, you did a great job, well done!<br/><br/>Here are a few tips to help you improve your English:<br/>* Read English magazines and books<br/>* Watch	3535	Hi! Anna,How are you? Thank you to sendmail to me. My name's Anfeng.I'm 24 years old.Nice to meet you !I think we are friends already,I hope we can learn english toghter! Bye! Anfeng.	1	1	cn	cn	Greetings and introductions	Introducing yourself by email	By the end of this lesson, you will be able to introduce yourself by email.
4	18434783	Mark an area of about 8 meters x by 3 meters as the "bowling alley". Use ten plastic bottles as the "bowling pins"-filled them with a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 1-just like ten-pin bowling. Give each player a frisbee and allow to take two shots on each turn. Give players a total of ten turns each. Score one point for knocking each pin down. If score a "strike"( knock down all the bottles). Then the player takes two more shots and adds all the points together. The player wins with the most points. Be careful, play this game should be on a very windy day!	2011-03-18 04:57:20.383	86	Hello student,<br/><br/>Thank you for your interesting submission.<br/>I enjoyed reading your writing. You were clear and precise.<br/><br/>Your writing shows promise of good skills, but some areas still need working on. <br/>1.Agreement: players) takes(AG)(>>take) two more.<br/>In English, the subjects and verbs must agree in number. <br/>The basic rule of subject-verb agreement states that a singular subject takes a singular verb, while a plural subject takes a plural verb.<br/>2.  Article: down) each(AR)(>>a) pin down.<br/>"A" and "an" signal that the noun modified is indefinite, referring to any member of a group.<br/>'A' is used before a consonant sound and 'an' is used before a vowel sound.<br/><br/> Please ALWAYS check the word limit for the task  before you start. Remember that the word limit is set so that you write concisely.<br/><br/>Apart from these errors you have done a good job! Keep it up! I hope you enjoy your studies online with Englishtown and do really well!	14173	Mark an area of about 8 meters x by 3 meters as the "bowling alley". Use ten plastic bottles as the "bowling pins"-filled them with a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 1-just like ten-pin bowling. Give each player a frisbee and allow to take two shots on each turn. Give players a total of ten turns each. Score one point for knocking each pin down. If score a "strike"( knock down all the bottles). Then the player takes two more shots and adds all the points together. The player wins with the most points. Be careful, play this game should be on a very windy day!	7	1	cn	cn	Rules and instructions	Giving instructions to play a game	By the end of this lesson, you will be able to write rules and instructions to a game.
5	18433367	Hi, my room is finished. It's beautiful! There is a wonderfull computer and have a confortable bed. It's expansive and interesting. I can play guitar now, because my room have a wall of sound proof, its nice for me, i'm noisy. My room got a wonderfull red rug of carp.	2011-03-18 00:30:31.693	86	Hello, <br/>  <br/>Thank you for your submission. Your writing shows that you are working very hard. Keep it up!<br/>There are a few things about your essay that I would like you to focus on.<br/>Please be careful of your spellings. Run a spell check to avoid errors [ wonderfull (SP)(>>wonderful] .<br/>Capitalise " I" when used singularly or in the contracted form [ i'm (C)(>>I'm ] .<br/>A preposition links nouns, pronouns and phrases to other words in a sentence [ me, (PR)(>>since] .<br/>The definite article is used to point out to particular person or thing and is used before singular and plural countable and uncountable nouns [ AR)(>>the)guitar ] .<br/>The subject and verb must agree in number: both must be singular, or both must be plural [ room have (AG)(>>has] .<br/>On the whole, a promising effort!<br/>Hope my suggestions are helpful. Enjoy your online studies and keep writing. Looking forward to reading more of your essays soon.	2543	Hi, my room is finished. It's beautiful! There is a <change><selection>wonderfull </selection><tag><symbol>SP</symbol><correct>wonderful</correct></tag></change>computer and <change><selection></selection><tag><symbol>MW</symbol><correct>I</correct></tag></change>have a <change><selection>confortable </selection><tag><symbol>SP</symbol><correct>comfortable</correct></tag></change>bed. It's <change><selection>expansive </selection><tag><symbol>SP</symbol><correct>expensive</correct></tag></change>and interesting. I can play <change><selection></selection><tag><symbol>AR</symbol><correct>the</correct></tag></change>guitar now, because my room <change><selection>have </selection><tag><symbol>AG</symbol><correct>has</correct></tag></change>a wall <change><selection>of </selection><tag><symbol>WC</symbol><correct>which</correct></tag></change><change><selection></selection><tag><symbol>MW</symbol><correct>is</correct></tag></change>sound proof, its nice for me, <change><selection></selection><tag><symbol>PR</symbol><correct>since</correct></tag></change><change><selection>i'm </selection><tag><symbol>C</symbol><correct>I'm </correct></tag></change>noisy. My room <change><selection>got </selection><tag><symbol>WC</symbol><correct>has</correct></tag></change>a <change><selection>wonderfull </selection><tag><symbol>SP</symbol><correct>wonderful</correct></tag></change>red rug <change><selection>of carp</selection><tag><symbol>D</symbol><correct></correct></tag></change>.	3	3	br	br	Home and family	Renovating your home	By the end of this lesson,  you will be able to describe a newly decorated house.
6	18427187	An area of about 8 meters X 3 meters . Ten plastic bottles . Fill the bottles a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 2, then 1. Give each player a frisbee , each player takes two shots on each turn, and a total of ten turns. Knock down one pin, score one point. Knock down all the bottles is a "strike", the player scores and takes two more shots, add the point together. Winner: With the most points. Attention: Don't play this game on a very windy day!	2011-03-18 02:15:24.550	91	Dear Student, <br/><br/>Thank you for your submission on the subject, "Write simpler instructions for three popular camp games." This was well structured and easy to read. Your writing shows promise of good skills, but some areas still need working on. <br/><br/>"point (PL)(>>points"<br/>Use the plural form when referring to more than one person or thing or just generally.<br/><br/>"MW)(>>Mark) An (C)(>>an )area"<br/>Review the words highlighted as (MW) to check places where you have missed out connectors in the sentence.<br/><br/>"Don't (C)(>>don't"<br/>Do not capitalize common words within the sentence.<br/><br/>Overall this was well done. Study hard and best of luck with your future online studies. Keep up the good work. Good luck! <br/> <br/>   <br/>	14173	<change><selection></selection><tag><symbol>MW</symbol><correct>Mark</correct></tag></change> <change><selection>An </selection><tag><symbol>C</symbol><correct>an </correct></tag></change>area of about 8 meters X 3 meters. <change><selection></selection><tag><symbol>MW</symbol><correct>Use</correct></tag></change> <change><selection>Ten </selection><tag><symbol>C</symbol><correct>ten </correct></tag></change>plastic bottles. Fill the bottles a little water to make them heavier. Line up the bottles in rows of 4, then 3, then 2, then 1.<br/>Give each player a frisbee<change><selection>,</selection><tag><symbol>PU</symbol><correct>.</correct></tag></change> <change><selection>each </selection><tag><symbol>C</symbol><correct>Each </correct></tag></change>player takes two shots on each turn, and a total of ten turns. Knock down one pin, score one point. Knock down all the bottles<change><selection></selection><tag><symbol>PU</symbol><correct>,</correct></tag></change> <change><selection></selection><tag><symbol>MW</symbol><correct>it</correct></tag></change> is a "strike"<change><selection>,</selection><tag><symbol>D</symbol><correct></correct></tag></change> the player scores and takes two more shots<change><selection>,</selection><tag><symbol>PU</symbol><correct>.</correct></tag></change> <change><selection>add </selection><tag><symbol>C</symbol><correct>Add </correct></tag></change>the <change><selection>point </selection><tag><symbol>PL</symbol><correct>points </correct></tag></change>together.<br/>Winner: <change><selection></selection><tag><symbol>MW</symbol><correct>the player</correct></tag></change> <change><selection>With </selection><tag><symbol>C</symbol><correct>with </correct></tag></change>the most points.<br/>Attention: <change><selection>Don't </selection><tag><symbol>C</symbol><correct>don't </correct></tag></change>play this game on a very windy day!	7	1	cn	cn	Rules and instructions	Giving instructions to play a game	By the end of this lesson, you will be able to write rules and instructions to a game.
7	18427201	Mark an area of about 8 metres by 3 metres as the "bowling alley". Use ten plastic bottles as the "bowling pins". Fill each bottle with a little water to make it heavier. Line up the bottles in rows of 4,then 3,then 2,then 1,just like ten-pin bowling. Get a frisbee and take two shots on each turn. Each player has ten turns. Knocking down a pin scores one point and gets two more shots. the winner with the most points win. notes: do not play on a very windy day!	2011-03-18 04:24:30.223	87	Dear Student<br/>Thank you for your understanding submission. It was a pleasure to read about a popular camp game.<br/><br/>SPACING: Use only one space after periods, colons, exclamation points, question marks, quotation marks—any punctuation that separates two sentences.<br/><br/>CAPITALISATION. Please remember to capitalize the first letter of your sentence, the<br/>letter "I" and all proper nouns (names of people, names of places,<br/>days of the week. etc.)<br/><br/>I look forward to seeing your writing again in the future. Keep up the<br/>good work.<br/><br/>Best wishes<br/>Stacey Nicole	14173	Mark an area of about 8 metres by 3 metres as the "bowling alley". Use ten plastic bottles as the "bowling pins". Fill each bottle with a little water to make it heavier. Line up the bottles in rows of 4,then 3,then 2,then 1,just like ten-pin bowling. Get a frisbee and take two shots on each turn. Each player has ten turns. Knocking down a pin scores one point and gets two more shots. the winner with the most points win. notes: do not play on a very windy day!	7	1	cn	cn	Rules and instructions	Giving instructions to play a game	By the end of this lesson, you will be able to write rules and instructions to a game.
8	18443880	I'm a project manager of development. I always have meetings and phone calls. My job is very exhausting but very interesting. Sometimes I go on business trips and discuss the technical topics with our suppliers. After the meeting I sometimes write the minutes and send the minutes to the participants.	2011-03-18 05:05:18.987	100	Dear Student,<br/>Thank you for your submission. I enjoyed reading about your job. You have written very well. I have read through and there are no corrections that I need to make. You have obviously put in a lot of effort and edited your work before submitting it. <br/>Try to read more English books, newspapers or magazines to help familiarise yourself with written English. I will give your essay the score it deserves: MAXIMUM!<br/>Keep up the fantastic effort! <br/>	5322	I'm a project manager of development. I always have meetings and phone calls. My job is very exhausting but very interesting. Sometimes I go on business trips and discuss the technical topics with our suppliers. After the meeting I sometimes write the minutes and send the minutes to the participants.	4	1	de	de	What do you do?	Writing about what you do	By the end of this lesson, you will be able to write about your job.
9	18427620	Hi! How are you? My name is Future. My age is twenty-four. I come from Beijing China. Good-bye	2011-03-18 05:09:34.733	100	Hello student,<br/><br/><br/>This really is an excellent piece of writing for this level. You are competent at writing in English and have a strong command in the written form.<br/><br/>I have read through and there are no corrections that I need to make. You have obviously put in a lot of effort and have edited your work before submitting it.<br/><br/>Practice your writing on a regular basis.<br/><br/>Well done on a fine effort. Good luck with your online studies!<br/>	11024	Hi! How are you? My name is Future. My age is twenty-four. I come from Beijing China. Good-bye	1	3	cn	cn	Where are you from?	Writing an online profile	By the end of this lesson, you will be able to respond to an online profile.
10	18427862	Hi mom and dad: I'm going to go to a music festival tomorrow.The price of ticket is 50 RMB. I'm going to take a guitar . I'm going to listen to pop and dance music,I'm taking a tent ,T-shit and shorts ,Maybe it'll rain,and I'm going to buy a umbrella. Wish you were there!  Sway.Si	2011-03-18 05:11:06.220	90	Hello student,<br/><br/>Thank you for your interesting submission.<br/>I enjoyed reading your writing. You were clear and precise.<br/><br/>Your writing shows promise of good skills, but some areas still need working on. <br/>1.Article:  (AR)(>>a)ticket is 50.<br/>"A" and "an" signal that the noun modified is indefinite, referring to any member of a group.<br/>'A' is used before a consonant sound and 'an' is used before a vowel sound.<br/>2.  Plural:  T-shit(PL)(>>T-shirts) and shorts. Maybe it'll rain, and (MW).<br/>The plural form is used to indicate more than one person or thing. <br/><br/> Apart from these errors you have done a good job! Keep it up! I hope you enjoy your studies online with Englishtown and do really well!	4748	Hi mom and dad: I'm going to go to a music festival tomorrow.The price of ticket is 50 RMB. I'm going to take a guitar . I'm going to listen to pop and dance music,I'm taking a tent ,T-shit and shorts ,Maybe it'll rain,and I'm going to buy a umbrella. Wish you were there!  Sway.Si	5	1	cn	cn	Holidays and festivals	Planning to attend a music festival	By the end of this lesson, you will be able to write about a festival you're going to.
